,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
3488,17720,2024-09-12,浜名湖,9,5,0.20153744398037007,0.08463775586803436,0.19162525947577896,0.12922514109304148,0.35048525781579376,0.042489141766981424,0.8710646200453874,0.5246118293853848,0.6368986115181832,0.4313752542004252,0.5355943369219035,0.13958113764226326
3489,17734,2024-09-12,鳴門,5,1,0.10964588971296402,0.17432151330961154,0.17036188517486822,0.18442698422058776,0.1593952026372474,0.201848524944721,0.7548109670360588,0.43814108416514963,0.5275484952081876,0.44084601401556495,0.2723051273473453,0.4835347142483453
3490,17735,2024-09-12,鳴門,6,4,0.10382831517067981,0.08381345318751264,0.1003787821447067,0.399798576422172,0.05725755091269527,0.25492332216223357,0.7664033028159993,0.4474528060729217,0.47898024185195487,0.8252846702088393,0.14932895713727018,0.33873956083411333
3491,17742,2024-09-13,びわこ,4,1,0.31200262835024967,0.17803829576546315,0.16458991137042892,0.12668719091094888,0.13257807234406813,0.0861039012588413,0.8705113391744008,0.5257861317076374,0.6612454924619217,0.46007845063887015,0.35815341605745726,0.33086038902655174
3492,17747,2024-09-13,びわこ,9,1,0.27030993865046876,0.19689301831414385,0.13339543295776532,0.15212288911231156,0.19894855707667053,0.04833016388864008,0.8717527283071589,0.6868712684347009,0.45789788084792615,0.5275705405890481,0.39473945758781104,0.15935783343872356
3493,17756,2024-09-13,下関,2,3,0.2581942482734729,0.14882920576626874,0.11595249530914814,0.059268990531131,0.09372452957124885,0.3240305305487304,0.8768644326347962,0.448159441775082,0.5175483382317299,0.2680121612769329,0.23794769094897894,0.5179547328994856
3494,17766,2024-09-13,丸亀,4,1,0.12087773883678772,0.11979434014298725,0.21154097018643248,0.07432119626740827,0.04867452058922408,0.4247912339771601,0.7857778193716476,0.4747044256289508,0.7204959078171436,0.4668109186010662,0.20037517255349865,0.5720077255295419
3495,17775,2024-09-13,唐津,6,3,0.09401495633718177,0.20983633020108808,0.3773038924146612,0.04072950974595621,0.18858820049607858,0.08952711080503431,0.7126991105631179,0.5625281488829751,0.7436804928048324,0.321249922654672,0.37093005807924273,0.26358134157883917
3496,17780,2024-09-13,多摩川,2,4,0.06206316741040272,0.03479775493167343,0.16051175633673975,0.4577943989612932,0.25408699571916865,0.030745926640722492,0.6814003064461723,0.2495448797046969,0.5969293867852167,0.5826908463464868,0.6307529545605016,0.24186014104187964
3497,17781,2024-09-13,多摩川,3,2,0.1600854450664795,0.4323778648242812,0.1442874349571894,0.024988087247461717,0.08839625597902898,0.1498649119255591,0.851267599554643,0.7878349257490502,0.5931849463609866,0.11906073929425516,0.20845559146238782,0.44319869366514586
